lang,name,glottocode,rate,rate_median
WangkumaraMcDWur,WangkumaraMcDWur,wong1246,2.512536908083568e-06,2.4070050975249925e-06
Kungkari,Kungkari,kuun1236,2.584400686202486e-06,2.4273294867462903e-06
Pirriya,Pirriya,pirr1240,1.8173167840251375e-06,1.71628819627379e-06
Kurnu,Kurnu,darl1243,2.9302169098163887e-06,2.7811733629204414e-06
Paakantyi,Paakantyi,darl1243,2.7733372358793166e-06,2.632807550156526e-06
Malyangapa,Malyangapa,yarl1236,1.4047030229473988e-06,1.3229017154579408e-06
Wadikali,Wadikali,yarl1236,2.6133348055564286e-06,2.3977517453514042e-06
Yardliyawarra,Yardliyawarra,yarl1236,1.6928220590965063e-06,1.5594196629955356e-06
AghuTharrnggala,AghuTharrnggala,aghu1254,4.547229713464437e-06,4.368779153507192e-06
Gugumini,Gugumini,ikar1243,2.973300663691386e-06,2.839929228377107e-06
Kunjen,Kunjen,kunj1245,2.6461471077164533e-06,2.5337707476133138e-06
Tagalag,Tagalag,taga1279,3.814083779395139e-06,3.499721654903454e-06
Ikarranggal,Ikarranggal,gurd1238,1.7755523162218327e-06,1.688943734309717e-06
Walangama,Walangama,wala1263,7.248947678756176e-06,7.195699262466603e-06
Olkola,Olkola,oyka1239,2.2534175083129193e-06,1.9970790157861894e-06
UwOykangand,UwOykangand,oyka1239,1.877606914796023e-06,1.6509549353633505e-06
Umpithamu,Umpithamu,umbi1243,1.4923785715204094e-06,1.373921576378642e-06
BarrowPoint,BarrowPoint,barr1247,3.1208976183164122e-06,3.038109001549628e-06
KukuWura,KukuWura,gugu1256,3.821868628786505e-06,3.6997478505482743e-06
FlindersIsland,FlindersIsland,flin1247,1.6303325900097095e-06,1.5794300620019787e-06
Alngith,Alngith,alng1239,9.328753519734658e-07,8.483268828245661e-07
Linngithigh,Linngithigh,leni1238,3.1085024869185703e-06,2.837955783557536e-06
Mbakwithi,Mbakwithi,angu1242,7.166997947660681e-06,7.130330078109754e-06
Thaynakwith,Thaynakwith,alng1239,1.851112296145892e-06,1.7709857209295906e-06
Ntrangith,Ntrangith,tyan1235,1.3499220890254126e-06,1.2984150543868415e-06
Mbiywom,Mbiywom,mbiy1238,1.7278719607045935e-06,1.5898403047983185e-06
Yinwum,Yinwum,yinw1236,2.2519895118882694e-06,2.12279333963127e-06
