language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
Warnman,wanm1242,Wanman,AustralianPolygons.kml,Warnman,100,
Warriyangga,wari1262,Wariyangga,AustralianPolygons.kml,Warriyangga,100,
Warrnambool,warr1257,Warrnambool,AustralianPolygons.kml,Warrnambool,100,
Warumungu,waru1265,Warumungu,AustralianPolygons.kml,Warumungu,100,
Warungu,waru1264,Warrongo,AustralianPolygons.kml,Warungu,100,
Wathawurrung,wath1238,Wathawurrung,AustralianPolygons.kml,Wathawurrung,100,
Wathiwathi,west2443,Western Victoria,AustralianPolygons.kml,WathiWathi,100,
Watjuk,nyun1247,Nyunga,AustralianPolygons.kml,Wajuk,91,
Wellington,lowe1402,Lower Riverland,,,(60 for Flinders Island),
WembaWemba,west2443,Western Victoria,AustralianPolygons.kml,Wemba Wemba,95,
WesternArrarnta,west2441,Western Arrarnta,AustralianPolygons.kml,Western Arrarnta,100,
WikMuminh,kuku1283,Kuku-Muminh,,,(70 for Guku Mini),
WikMungkan,wikm1247,Wik-Mungkan,AustralianPolygons.kml,Wik Mungkan,100,
WikNgatharr,wika1238,Wikalkan,,,(67 for Wiilman),
Wiradjuri,wira1262,Wiradhuri,AustralianPolygons.kml,Wiradjuri,100,
Wirangu,wira1265,Wirangu,AustralianPolygons.kml,Wirangu,100,
Woiwurrung,woiw1237,Woiwurrung-Thagungwurrung,AustralianPolygons.kml,Woiwurrung,100,
Wulguru,wulg1239,Wulguru,AustralianPolygons.kml,Wulguru,100,
YabulaYabula,yort1237,Yorta Yorta,AustralianPolygons.kml,YabulaYabula,100,
Yadhaykenu,yadh1237,Yadhaykenu,AustralianPolygons.kml,Yadhaykenu,100,
Yagara,yaga1256,Yagara-Jandai,AustralianPolygons.kml,Yagara,100,
Yalarnnga,yala1262,Yalarnnga,AustralianPolygons.kml,Yalarnnga,100,
Yambina,biri1256,Biri,AustralianPolygons.kml,Yambina,100,
Yanda,yand1251,Yanda,AustralianPolygons.kml,Yanda,100,
Yandruwandha,yand1253,Yandruwandha,AustralianPolygons.kml,Yandruwandha,100,
Yangarella,nyan1300,Yangkaal,,,(71 for Yagara),
Yangkaal,nyan1300,Yangkaal,,,(71 for Yagara),
Yannhangu,yann1237,Nhangu,,,(83 for Dhangu),
Yanyuwa,yany1243,Yanyuwa,AustralianPolygons.kml,Yanyuwa,100,
Yardliyawarra,yarl1236,Yarli,AustralianPolygons.kml,Yardliyawarra,100,
Yarluyandi,yarl1238,Yarluyandi,AustralianPolygons.kml,Yarluyandi,100,
Yawarrawarrka,yawa1258,Yawarawarga,AustralianPolygons.kml,Yawarrawarrka,100,
Yaygirr,yayg1236,Yaygir,AustralianPolygons.kml,Yaygirr,100,
Yidiny,yidi1250,Yidiñ,AustralianPolygons.kml,Yidiny,100,
